,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,no_partners_no_dependents,no_dependents_yes_partners,dependents_no_partners,yes_dependents_and_partners,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc,is_auto
69,0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,$19.40,529.8,No,27,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20190120,$19.40,TRUE,Month-to-Month,One Line,No Internet Service,False
73,0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),$71.40,1212.1,No,17,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20191130,$71.40,TRUE,Month-to-Month,Two or More Lines,DSL,True
75,0107-WESLM,Male,0,No,No,1,0,0,Electronic check,$19.85,19.85,Yes,1,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,False
76,0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,$99.75,99.75,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20210330,$99.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
77,0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,$93.95,2861.45,No,30,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20181016,$93.95,TRUE,Month-to-Month,One Line,Fiber Optic,False
78,0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$90.80,1442.2,No,16,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20200102,$90.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
81,0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,$107.55,3645.5,No,34,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180704,$107.55,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
82,0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),$19.95,187.75,No,9,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE,20200717,$19.95,TRUE,Month-to-Month,One Line,No Internet Service,True
83,0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,$111.20,2317.1,Yes,21,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190805,$111.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
84,0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),$40.20,1448.8,Yes,36,FALSE,TRUE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20180429,$40.20,TRUE,Month-to-Month,No Phone Service,DSL,True
85,0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),$85.80,2193.65,No,26,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20190314,$85.80,TRUE,Month-to-Month,One Line,Fiber Optic,True
87,0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,$73.85,511.25,Yes,7,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201001,$73.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
89,0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,$101.35,1553.95,Yes,15,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200119,$101.35,TRUE,Month-to-Month,One Line,Fiber Optic,False
90,0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,$45.80,1147.0,No,25,TRUE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,20190330,$45.80,TRUE,Month-to-Month,No Phone Service,DSL,False
91,0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,$94.65,6747.35,No,71,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20150523,$94.65,TRUE,Month-to-Month,One Line,Fiber Optic,False
93,0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),$89.40,5976.9,No,67,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20151005,$89.40,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
94,0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,$86.25,181.65,Yes,2,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210224,$86.25,TRUE,Month-to-Month,One Line,Fiber Optic,False
96,0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),$89.75,1052.4,Yes,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200508,$89.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
98,0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,$80.20,80.2,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$80.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
99,0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,$19.85,63.75,Yes,3,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210122,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,False
100,0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,$90.35,190.5,No,2,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210224,$90.35,TRUE,Month-to-Month,One Line,Fiber Optic,False
101,0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),$86.45,2401.05,No,28,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20190106,$86.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
102,0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,$20.30,511.25,No,25,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20190325,$20.30,TRUE,Month-to-Month,One Line,No Internet Service,False
103,0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,$101.25,3949.15,No,39,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20180129,$101.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
104,0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),$94.70,2362.1,Yes,25,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20190402,$94.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
105,0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,$70.90,70.9,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$70.90,TRUE,Month-to-Month,One Line,Fiber Optic,False
106,0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,$54.20,1152.7,Yes,21,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190723,$54.20,TRUE,Month-to-Month,One Line,DSL,False
109,0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,$86.85,1564.4,No,18,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20191030,$86.85,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
111,0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),$109.90,3694.7,No,34,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20180712,$109.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
112,0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,$19.95,58.0,No,3,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210131,$19.95,TRUE,Month-to-Month,One Line,No Internet Service,False
113,0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,$87.20,4017.45,No,46,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20170628,$87.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
116,0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,$89.00,605.45,No,7,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20201005,$89.00,TRUE,Month-to-Month,One Line,Fiber Optic,False
117,0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,$74.40,1972.35,No,27,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190213,$74.40,TRUE,Month-to-Month,One Line,Fiber Optic,False
118,0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,$20.05,33.7,No,2,FALSE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210309,$20.05,TRUE,Month-to-Month,One Line,No Internet Service,False
120,0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,$74.75,2111.3,No,28,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20181222,$74.75,TRUE,Month-to-Month,One Line,DSL,False
122,0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,$85.25,855.3,Yes,10,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20200628,$85.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
123,0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),$75.20,633.85,No,8,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200816,$75.20,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
124,0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,$84.35,474.9,Yes,6,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20201109,$84.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
131,0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,$105.10,1582.75,Yes,15,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200127,$105.10,TRUE,Month-to-Month,One Line,Fiber Optic,False
132,0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),$19.40,198.1,No,10,TRUE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20200623,$19.40,TRUE,Month-to-Month,One Line,No Internet Service,True
133,0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,$50.35,1098.85,No,22,TRUE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20190706,$50.35,TRUE,Month-to-Month,No Phone Service,DSL,False
135,0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),$84.30,2438.6,No,29,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20181202,$84.30,TRUE,Month-to-Month,One Line,Fiber Optic,True
138,0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$84.80,371.9,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20201217,$84.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
139,0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,$85.85,167.3,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210301,$85.85,TRUE,Month-to-Month,One Line,Fiber Optic,False
141,0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,$75.35,273.4,No,4,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210109,$75.35,TRUE,Month-to-Month,One Line,Fiber Optic,False
142,0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),$48.80,2555.05,No,52,FALSE,FALSE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20161219,$48.80,TRUE,Month-to-Month,No Phone Service,DSL,True
143,0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,$47.15,223.15,Yes,5,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20201207,$47.15,TRUE,Month-to-Month,Two or More Lines,DSL,False
145,0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,$44.30,89.3,No,2,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210227,$44.30,TRUE,Month-to-Month,One Line,DSL,False
146,0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,$84.30,235.05,No,3,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210204,$84.30,TRUE,Month-to-Month,One Line,Fiber Optic,False
147,0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,$59.55,1144.6,No,19,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20190923,$59.55,TRUE,Month-to-Month,Two or More Lines,DSL,False
151,0231-LXVAP,Male,0,No,No,1,2,0,Electronic check,$75.90,75.9,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$75.90,TRUE,Month-to-Month,One Line,Fiber Optic,False
154,0235-KGSLC,Female,0,No,No,1,2,0,Credit card (automatic),$85.55,85.55,Yes,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$85.55,TRUE,Month-to-Month,One Line,Fiber Optic,True
155,0236-HFWSV,Male,0,No,No,2,2,0,Electronic check,$93.35,1444.65,Yes,15,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200115,$93.35,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
156,0237-YFUTL,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$109.65,5405.8,No,49,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20170322,$109.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
158,0239-OXEXL,Female,0,No,No,2,2,0,Mailed check,$84.25,3847.6,No,46,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20170710,$84.25,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
160,0247-SLUJI,Male,0,Yes,Yes,1,0,0,Mailed check,$19.70,19.7,No,1,FALSE,FALSE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20210330,$19.70,TRUE,Month-to-Month,One Line,No Internet Service,False
161,0248-IPDFW,Female,0,No,No,2,1,0,Electronic check,$50.10,50.1,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$50.10,TRUE,Month-to-Month,Two or More Lines,DSL,False
167,0256-LTHVJ,Female,0,Yes,Yes,1,2,0,Electronic check,$81.05,2227.1,Yes,27,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190115,$81.05,TRUE,Month-to-Month,One Line,Fiber Optic,False
168,0257-KXZGU,Female,0,Yes,Yes,2,1,0,Bank transfer (automatic),$62.45,2045.55,No,33,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20180807,$62.45,TRUE,Month-to-Month,Two or More Lines,DSL,True
169,0257-ZESQC,Female,1,Yes,No,1,2,0,Bank transfer (automatic),$75.20,1929.35,Yes,26,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20190311,$75.20,TRUE,Month-to-Month,One Line,Fiber Optic,True
170,0258-NOKBL,Male,0,No,No,1,2,0,Electronic check,$90.40,268.45,No,3,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210129,$90.40,TRUE,Month-to-Month,One Line,Fiber Optic,False
171,0259-GBZSH,Male,0,No,No,2,2,0,Electronic check,$85.65,181.5,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210224,$85.65,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
172,0260-ZDLGK,Female,0,No,Yes,1,1,0,Mailed check,$72.90,651.4,Yes,9,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20200801,$72.90,TRUE,Month-to-Month,One Line,DSL,False
175,0265-EDXBD,Male,1,Yes,No,2,2,0,Electronic check,$74.90,2303.35,Yes,31,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20181007,$74.90,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
176,0265-PSUAE,Female,0,Yes,Yes,1,2,0,Bank transfer (automatic),$100.70,1522.7,No,15,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20200126,$100.70,TRUE,Month-to-Month,One Line,Fiber Optic,True
179,0268-QKIWO,Female,0,No,No,1,0,0,Electronic check,$19.75,58.85,Yes,3,TRUE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210129,$19.75,TRUE,Month-to-Month,One Line,No Internet Service,False
182,0274-JKUJR,Male,0,Yes,Yes,0,1,0,Mailed check,$58.85,465.7,No,8,FALSE,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20200901,$58.85,TRUE,Month-to-Month,No Phone Service,DSL,False
183,0277-BKSQP,Male,0,Yes,Yes,1,1,0,Electronic check,$54.40,475.1,No,9,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20200807,$54.40,TRUE,Month-to-Month,One Line,DSL,False
185,0278-YXOOG,Male,0,No,No,1,0,0,Mailed check,$21.05,113.85,Yes,5,FALSE,TRUE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20201116,$21.05,TRUE,Month-to-Month,One Line,No Internet Service,False
186,0280-XJGEX,Male,0,No,No,2,2,0,Bank transfer (automatic),$103.70,5036.3,Yes,49,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20170413,$103.70,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
188,0282-NVSJS,Female,1,Yes,Yes,0,1,0,Mailed check,$29.30,355.9,No,12,TRUE,FALSE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20200425,$29.30,TRUE,Month-to-Month,No Phone Service,DSL,False
189,0285-INHLN,Male,0,Yes,Yes,1,1,0,Credit card (automatic),$54.75,1510.3,No,28,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190111,$54.75,TRUE,Month-to-Month,One Line,DSL,True
190,0289-IVARM,Female,0,No,No,1,1,0,Electronic check,$60.55,1982.6,No,33,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180808,$60.55,TRUE,Month-to-Month,One Line,DSL,False
191,0292-WEGCH,Female,0,Yes,Yes,2,1,0,Electronic check,$86.20,4524.05,No,52,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20161215,$86.20,TRUE,Month-to-Month,Two or More Lines,DSL,False
192,0295-PPHDO,Male,0,No,No,2,2,0,Electronic check,$95.45,95.45,Yes,1,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$95.45,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
